timestamp,frame,ear,mar,perclos,blink_rate,score,microsleep_duration,pose_pitch,pose_yaw,pose_roll,pose_score,eyes_reliable,alert_level
2026-05-02 00:49:50,0,0.3082,0.0258,0.0,,0.0,0.0,17.87,-4.69,3.09,0.0,1,OK
2026-05-02 00:49:50,1,0.3058,0.0291,0.0,,0.0,0.0,17.87,-4.69,3.09,0.0,1,OK
2026-05-02 00:49:51,2,0.3052,0.0233,0.0,,0.0,0.0,20.36,-4.37,2.64,0.0,1,OK
2026-05-02 00:49:51,3,0.318,0.0212,0.0,,0.0,0.0,20.36,-4.37,2.64,0.0,1,OK
2026-05-02 00:49:51,4,0.2982,0.0204,0.0,,0.0,0.0,23.22,-3.66,2.41,0.0,1,OK
2026-05-02 00:49:51,5,0.2963,0.0233,0.0,,0.0,0.0,23.22,-3.66,2.41,0.0,1,OK
2026-05-02 00:49:51,6,0.3143,0.0214,0.0,,0.0,0.0,21.28,-2.64,2.98,0.0,1,OK
2026-05-02 00:49:51,7,0.3187,0.0168,0.0,,0.0,0.0,21.28,-2.64,2.98,0.0,1,OK
2026-05-02 00:49:51,8,0.2969,0.0322,0.0,,0.0,0.0,20.2,-3.31,3.04,0.0,1,OK
2026-05-02 00:49:51,9,0.306,0.0264,0.0,,0.0,0.0,20.2,-3.31,3.04,0.0,1,OK
2026-05-02 00:49:51,10,0.2895,0.0198,0.0,,0.0,0.0,20.3,-5.03,3.06,0.0,1,OK
2026-05-02 00:49:51,11,0.2943,0.0238,0.0,,0.0,0.0,20.3,-5.03,3.06,0.0,1,OK
2026-05-02 00:49:51,12,0.3012,0.0203,0.0,,0.0,0.0,21.23,-4.23,3.0,0.0,1,OK
2026-05-02 00:49:51,13,0.2952,0.0323,0.0,,0.0,0.0,21.23,-4.23,3.0,0.0,1,OK
2026-05-02 00:49:51,14,0.2915,0.0242,0.0,,0.0,0.0,19.63,-3.26,2.55,0.0,1,OK
2026-05-02 00:49:51,15,0.2924,0.0219,0.0,,0.04,0.0,19.63,-3.26,2.55,0.11,1,OK
2026-05-02 00:49:51,16,0.3064,0.0209,0.0,,0.16,0.0,19.48,-3.47,3.15,0.39,1,OK
2026-05-02 00:49:51,17,0.2953,0.0196,0.0,,0.38,0.0,19.48,-3.47,3.15,0.79,1,OK
2026-05-02 00:49:51,18,0.2874,0.0134,0.0,,0.72,0.0,20.72,-5.16,2.56,1.33,1,OK
2026-05-02 00:49:52,19,0.3014,0.0149,0.0,,1.15,0.0,20.72,-5.16,2.56,1.95,1,OK
2026-05-02 00:49:52,20,0.3015,0.0147,0.0,,1.66,0.0,20.68,-4.1,3.03,2.62,1,OK
2026-05-02 00:49:52,21,0.2881,0.014,0.0,,2.23,0.0,20.68,-4.1,3.03,3.29,1,OK
2026-05-02 00:49:52,22,0.2829,0.0205,0.0,,2.86,0.0,21.72,-4.94,2.46,4.04,1,OK
2026-05-02 00:49:52,23,0.2956,0.0298,0.0,,3.55,0.0,21.72,-4.94,2.46,4.82,1,OK
2026-05-02 00:49:52,24,0.3104,0.0228,0.0,,4.27,0.0,19.22,-3.96,3.04,5.62,1,OK
2026-05-02 00:49:52,25,0.3142,0.0227,0.0,,5.0,0.0,19.22,-3.96,3.04,6.36,1,OK
2026-05-02 00:49:52,26,0.2927,0.0196,0.0,,5.77,0.0,18.95,-5.39,2.54,7.18,1,OK
2026-05-02 00:49:52,27,0.2988,0.0248,0.0,,6.56,0.0,18.95,-5.39,2.54,8.03,1,OK
2026-05-02 00:49:52,28,0.2979,0.0289,0.0,,6.96,0.0,16.98,-4.88,1.76,7.72,1,OK
2026-05-02 00:49:52,29,0.312,0.0181,0.0,,6.94,0.0,16.98,-4.88,1.76,6.71,1,OK
2026-05-02 00:49:52,30,0.307,0.0217,0.0,,6.68,0.0,17.39,-5.2,2.61,3.69,1,OK
2026-05-02 00:49:52,31,0.3025,0.0259,0.0,,6.31,0.0,17.39,-5.2,2.61,2.03,1,OK
2026-05-02 00:49:52,32,0.2928,0.0239,0.0,,5.9,0.0,17.37,-5.14,2.83,1.12,1,OK
2026-05-02 00:49:52,33,0.2992,0.039,0.0,,5.47,0.0,17.37,-5.14,2.83,0.61,1,OK
2026-05-02 00:49:52,34,0.3011,0.0325,0.0,,5.06,0.0,17.58,-4.72,2.62,0.34,1,OK
2026-05-02 00:49:52,35,0.3105,0.034,0.0,,4.67,0.0,17.58,-4.72,2.62,0.19,1,OK
2026-05-02 00:49:53,36,0.3091,0.026,0.0,,4.31,0.0,16.63,-1.31,2.89,0.1,1,OK
2026-05-02 00:49:53,37,0.2971,0.027,0.0,,3.97,0.0,16.63,-1.31,2.89,0.06,1,OK
2026-05-02 00:49:53,38,0.2988,0.0308,0.0,,3.65,0.0,17.14,-3.48,2.27,0.03,1,OK
2026-05-02 00:49:53,39,0.306,0.0353,0.0,,3.36,0.0,17.14,-3.48,2.27,0.02,1,OK
2026-05-02 00:49:53,40,0.2903,0.0261,0.0,,3.09,0.0,16.65,-5.9,2.24,0.01,1,OK
2026-05-02 00:49:53,41,0.2994,0.037,0.0,,2.85,0.0,16.65,-5.9,2.24,0.01,1,OK
2026-05-02 00:49:53,42,0.3029,0.0256,0.0,,2.62,0.0,17.98,-3.95,2.73,0.0,1,OK
2026-05-02 00:49:53,43,0.3039,0.0194,0.0,,2.41,0.0,17.98,-3.95,2.73,0.0,1,OK
2026-05-02 00:49:53,44,0.2996,0.0343,0.0,,2.22,0.0,16.43,-2.43,2.64,0.0,1,OK
2026-05-02 00:49:53,45,0.2961,0.0237,0.0,,2.04,0.0,16.43,-2.43,2.64,0.0,1,OK
2026-05-02 00:49:53,46,0.3059,0.0121,0.0,,1.88,0.0,18.23,-3.53,2.71,0.0,1,OK
2026-05-02 00:49:53,47,0.3092,0.0207,0.0,,1.73,0.0,18.23,-3.53,2.71,0.0,1,OK
2026-05-02 00:49:53,48,0.3046,0.0285,0.0,,1.59,0.0,17.76,-5.04,2.2,0.0,1,OK
2026-05-02 00:49:53,49,0.296,0.0187,0.0,,1.46,0.0,17.76,-5.04,2.2,0.0,1,OK
2026-05-02 00:49:53,50,0.3014,0.0261,0.0,,1.34,0.0,16.68,-6.44,2.15,0.0,1,OK
2026-05-02 00:49:53,51,0.2997,0.0284,0.0,,1.24,0.0,16.68,-6.44,2.15,0.0,1,OK
2026-05-02 00:49:54,52,0.3199,0.0353,0.0,,1.14,0.0,16.4,-3.29,2.82,0.0,1,OK
2026-05-02 00:49:54,53,0.2994,0.0177,0.0,,1.05,0.0,16.4,-3.29,2.82,0.0,1,OK
2026-05-02 00:49:54,54,0.2289,0.0178,0.0,,0.96,0.0,16.38,-5.86,2.55,0.0,1,OK
